,Unnamed: 0,Unnamed: 0.1,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Bsmt Bath,Total House SF,Total Bath
0,0,0,20,4,141.0,31770,1,1,0,3,4,0,2,15,2,2,0,1.0,6,5,1960,1960,3,1,3,10,4,112.0,3,3,1,3,4,4,4,639.0,1,0.0,0.12786314873876484,0.3131342418092201,1,2,1,5,0.4801391707741374,0.0,0.0,1656,0.5,0.0,0.5,0.0,3,1,3,7,7,2,4,1,1960,3,2,528.0,3,3,1,0.060887213685126125,62,0,0,0,0,-1,4,0,0,5,2010,0,3,215000,0.5,3449.0,2.0
1,1,1,20,7,80.0,11622,1,1,3,3,4,4,2,15,1,2,0,1.0,5,6,1961,1961,1,1,13,14,3,0.0,3,3,1,3,3,-1,3,468.0,2,144.0,0.12340036563071298,0.4031078610603291,1,3,1,5,0.4095063985374772,0.0,0.0,896,0.0,0.0,1.0,0.0,2,1,3,5,7,0,-1,1,1961,1,1,730.0,3,3,2,0.06398537477148081,0,0,0,120,0,-1,2,0,0,6,2010,0,3,105000,0.0,2188.0,1.0
2,2,2,20,4,81.0,14267,1,1,0,3,4,0,2,15,2,2,0,1.0,6,6,1958,1958,3,1,14,15,1,108.0,3,3,1,3,3,-1,5,923.0,1,0.0,0.11623246492985972,0.38047523618665896,1,3,1,5,0.38047523618665896,0.0,0.0,1329,0.0,0.0,0.5,0.5,3,1,4,6,7,0,-1,1,1958,1,1,312.0,3,3,2,0.11251073575722874,36,0,0,0,0,-1,4,1,12500,6,2010,0,3,172000,0.0,3493.0,2.0
3,3,3,20,4,93.0,11160,1,1,3,3,4,0,2,15,2,2,0,1.0,7,5,1968,1968,3,1,3,3,3,0.0,4,3,1,3,3,-1,5,1065.0,1,0.0,0.1984805318138652,0.4007597340930674,1,5,1,5,0.4007597340930674,0.0,0.0,2110,0.25,0.0,0.5,0.25,3,1,5,8,7,2,3,1,1968,3,2,522.0,3,3,2,0.0,0,0,0,0,0,-1,4,0,0,4,2010,0,3,244000,0.25,5265.0,4.0
4,4,4,60,4,74.0,13830,1,1,0,3,4,4,2,8,2,2,0,2.0,5,5,1997,1998,1,1,13,14,3,0.0,3,3,2,4,3,-1,6,791.0,1,0.0,0.04659863945578231,0.3156462585034013,1,4,1,5,0.3156462585034013,0.2384353741496599,0.0,1629,0.0,0.0,0.6666666666666666,0.3333333333333333,3,1,3,6,7,1,3,1,1997,3,2,482.0,3,3,2,0.07210884353741498,34,0,0,0,0,-1,2,0,0,3,2010,0,3,189900,0.0,2940.0,3.0
5,5,5,60,4,78.0,9978,1,1,0,3,4,4,2,8,2,2,0,2.0,6,6,1998,1998,1,1,13,14,1,20.0,3,3,2,3,3,-1,6,602.0,1,0.0,0.09969230769230768,0.2849230769230769,1,5,1,5,0.2849230769230769,0.20861538461538465,0.0,1604,0.0,0.0,0.6666666666666666,0.3333333333333333,3,1,4,7,7,1,4,1,1998,3,2,470.0,3,3,2,0.11076923076923076,36,0,0,0,0,-1,4,0,0,6,2010,0,3,195500,0.0,3250.0,3.0
6,6,6,120,4,41.0,4920,1,1,3,3,4,4,2,25,2,2,4,1.0,8,5,2001,2001,1,1,5,5,3,0.0,4,3,2,4,3,2,6,616.0,1,0.0,0.21247792819305475,0.3937610359034726,1,5,1,5,0.3937610359034726,0.0,0.0,1338,0.3333333333333333,0.0,0.6666666666666666,0.0,2,1,4,6,7,0,-1,1,2001,3,2,582.0,3,3,2,0.0,0,170,0,0,0,-1,4,0,0,4,2010,0,3,213500,0.3333333333333333,3398.0,3.0
7,7,7,120,4,43.0,5005,1,1,0,1,4,4,2,25,2,2,4,1.0,8,5,1992,1992,1,1,6,6,3,0.0,4,3,2,4,3,-1,5,263.0,1,0.0,0.2779447936594698,0.3498223558349276,1,5,1,5,0.3498223558349276,0.0,0.0,1280,0.0,0.0,1.0,0.0,2,1,4,5,7,0,-1,1,1992,2,2,506.0,3,3,2,0.0,82,0,0,144,0,-1,4,0,0,1,2010,0,3,191500,0.0,3659.0,2.0
8,8,8,120,4,39.0,5389,1,1,0,3,4,4,2,25,2,2,4,1.0,8,5,1995,1996,1,1,5,5,3,0.0,4,3,2,4,3,-1,6,1180.0,1,0.0,0.10336239103362392,0.3972602739726027,1,5,1,5,0.4024906600249066,0.0,0.0,1616,0.3333333333333333,0.0,0.6666666666666666,0.0,2,1,4,5,7,1,3,1,1995,2,2,608.0,3,3,2,0.05902864259028642,152,0,0,0,0,-1,4,0,0,3,2010,0,3,236500,0.3333333333333333,4015.0,3.0
9,9,9,60,4,60.0,7500,1,1,3,3,4,4,2,8,2,2,0,2.0,7,5,1999,1999,1,1,13,14,3,0.0,3,3,2,3,3,-1,1,0.0,1,0.0,0.24899799599198397,0.24899799599198397,1,4,1,5,0.2575150300601202,0.19438877755511025,0.0,1804,0.0,0.0,0.6666666666666666,0.3333333333333333,3,1,4,7,7,1,3,1,1999,3,2,442.0,3,3,2,0.035070140280561116,60,0,0,0,0,-1,4,0,0,6,2010,0,3,189000,0.0,3992.0,3.0
10,10,10,60,4,75.0,10000,1,1,0,3,4,0,2,8,2,2,0,2.0,6,5,1993,1994,1,1,6,6,3,0.0,3,3,2,4,3,-1,1,0.0,1,0.0,0.22296902396259494,0.22296902396259494,1,4,1,5,0.22296902396259494,0.2606662770309761,0.0,1655,0.0,0.0,0.6666666666666666,0.3333333333333333,3,1,3,7,7,1,3,1,1993,3,2,440.0,3,3,2,0.04587960257159556,84,0,0,0,0,-1,4,0,0,4,2010,0,3,175900,0.0,3422.0,3.0
11,11,11,20,4,0.0,7980,1,1,0,3,4,4,2,8,2,2,0,1.0,6,7,1992,2007,1,1,6,6,3,0.0,3,4,2,4,3,-1,5,935.0,1,0.0,0.07535575679172057,0.3777490297542044,1,5,1,5,0.38389391979301424,0.0,0.0,1187,0.3333333333333333,0.0,0.6666666666666666,0.0,3,1,3,6,7,0,-1,1,1992,3,2,420.0,3,3,2,0.15620957309184993,21,0,0,0,0,-1,0,1,500,3,2010,0,3,185000,0.3333333333333333,3092.0,3.0
12,12,12,60,4,63.0,8402,1,1,0,3,4,4,2,8,2,2,0,2.0,6,5,1998,1998,1,1,13,14,3,0.0,3,3,2,4,3,-1,1,0.0,1,0.0,0.2530468248877485,0.2530468248877485,1,4,1,5,0.2530468248877485,0.21680564464400254,0.0,1465,0.0,0.0,0.6666666666666666,0.3333333333333333,3,1,3,7,7,1,4,1,1998,3,2,393.0,3,3,2,0.0,75,0,0,0,0,-1,4,0,0,5,2010,0,3,180400,0.0,3118.0,3.0
13,13,13,20,4,85.0,10176,1,1,3,3,4,4,2,8,2,2,0,1.0,7,5,1990,1990,1,1,6,6,3,0.0,3,3,2,4,3,4,6,637.0,1,0.0,0.1896453089244851,0.3718535469107552,1,4,1,5,0.3835812356979405,0.0,0.0,1341,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,2,1,4,5,7,1,1,1,1990,1,2,506.0,3,3,2,0.05491990846681922,0,0,0,0,0,-1,4,0,0,2,2010,0,3,171500,0.3333333333333333,3496.0,3.0
14,14,14,120,4,0.0,6820,1,1,0,3,4,0,2,25,2,2,4,1.0,8,5,1985,1985,1,1,6,6,3,0.0,4,3,2,4,3,3,6,368.0,4,1120.0,0.0,0.4888304862023653,1,3,1,5,0.4934296977660973,0.0,0.0,1502,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1,1,4,4,7,0,-1,1,1985,2,2,528.0,3,3,2,0.0,54,0,0,140,0,-1,4,0,0,6,2010,0,3,212000,0.3333333333333333,3044.0,3.0
