,Lot Area,Year Built,Year Remod/Add,Exter Qual,1st Flr SF,Gr Liv Area,Full Bath,Bedroom AbvGr,Kitchen Qual,Fireplaces,Garage Type,Garage Cars,Porch SF,SalePrice
0,31770,1960,1960,3,1656,1656,1,3,3,2,1,2.0,62,215000
1,11622,1961,1961,3,896,896,1,2,3,0,1,1.0,120,105000
2,14267,1958,1958,3,1329,1329,1,3,4,0,1,1.0,36,172000
3,11160,1968,1968,4,2110,2110,2,3,5,2,1,2.0,0,244000
4,13830,1997,1998,3,928,1629,2,3,3,1,1,2.0,34,189900
5,9978,1998,1998,3,926,1604,2,3,4,1,1,2.0,36,195500
6,4920,2001,2001,4,1338,1338,2,2,4,0,1,2.0,170,213500
7,5005,1992,1992,4,1280,1280,2,2,4,0,1,2.0,226,191500
8,5389,1995,1996,4,1616,1616,2,2,4,1,1,2.0,152,236500
9,7500,1999,1999,3,1028,1804,2,3,4,1,1,2.0,60,189000
10,10000,1993,1994,3,763,1655,2,3,3,1,1,2.0,84,175900
11,7980,1992,2007,3,1187,1187,2,3,3,0,1,2.0,21,185000
12,8402,1998,1998,3,789,1465,2,3,3,1,1,2.0,75,180400
13,10176,1990,1990,3,1341,1341,1,2,4,1,1,2.0,0,171500
14,6820,1985,1985,4,1502,1502,1,1,4,0,1,2.0,194,212000
15,53504,2003,2003,5,1690,3279,3,4,5,1,3,3.0,246,538000
16,12134,1988,2005,4,1080,1752,2,4,3,0,2,2.0,12,164000
17,11394,2010,2010,4,1856,1856,1,1,5,1,1,3.0,0,394432
18,19138,1951,1951,3,864,864,1,2,3,0,5,2.0,0,141000
19,13175,1978,1988,3,2073,2073,2,3,3,2,1,2.0,0,210000
20,11751,1977,1977,3,1844,1844,2,3,3,1,1,2.0,122,190000
21,10625,1974,1974,3,1173,1173,2,3,4,2,1,2.0,120,170000
22,7500,2000,2000,4,814,1674,2,3,4,0,1,2.0,96,216000
23,11241,1970,1970,3,1004,1004,1,2,3,1,1,2.0,0,149000
