test#,model type,alpha,alpha_ratio,MSE_test,MSE_train,intercept,cv#
1,Lasso,0.05,NAN,0.9599772052905409,0.9396069214123335,-0.003230547831318969,1
2,Ridge,0.05,NAN,0.06683711125868555,0.06448017531053687,-0.0032305478313195,1
3,LR,NAN,NAN,0.06684855151304799,0.06448639968069782,-0.0033309249904514933,1
4,ElasticNet,0.05,0.1,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
5,ElasticNet,0.05,0.3,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
6,ElasticNet,0.05,0.5,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
7,ElasticNet,0.05,0.7,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
8,Lasso,0.05,NAN,0.9485240811418494,0.9364843400336131,0.0060274559100940385,2
9,Ridge,0.05,NAN,0.06578198940710041,0.06502200186585097,0.006027455910094535,2
10,LR,NAN,NAN,0.0657786688144793,0.06502362806769756,0.0060167159776212085,2
11,ElasticNet,0.05,0.1,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
12,ElasticNet,0.05,0.3,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
13,ElasticNet,0.05,0.5,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
14,ElasticNet,0.05,0.7,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
15,Lasso,0.05,NAN,0.9136308242547844,0.9451544827042695,-0.002797078457332723,3
16,Ridge,0.05,NAN,0.06515534834560813,0.06535123695556735,-0.0027970784573319142,3
17,LR,NAN,NAN,0.0651587978705692,0.06535557485369045,-0.002825490949727093,3
18,ElasticNet,0.05,0.1,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
19,ElasticNet,0.05,0.3,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
20,ElasticNet,0.05,0.5,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
21,ElasticNet,0.05,0.7,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
22,Lasso,0.1,NAN,0.9599772052905409,0.9396069214123335,-0.003230547831318969,1
23,Ridge,0.1,NAN,0.06683711125868555,0.06448017531053687,-0.0032305478313195,1
24,LR,NAN,NAN,0.06684855151304799,0.06448639968069782,-0.0033309249904514933,1
25,ElasticNet,0.1,0.1,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
26,ElasticNet,0.1,0.3,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
27,ElasticNet,0.1,0.5,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
28,ElasticNet,0.1,0.7,0.5335955746627469,0.5225571990091704,-0.0032305478313189983,1
29,Lasso,0.1,NAN,0.9485240811418494,0.9364843400336131,0.0060274559100940385,2
30,Ridge,0.1,NAN,0.06578198940710041,0.06502200186585097,0.006027455910094535,2
31,LR,NAN,NAN,0.0657786688144793,0.06502362806769756,0.0060167159776212085,2
32,ElasticNet,0.1,0.1,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
33,ElasticNet,0.1,0.3,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
34,ElasticNet,0.1,0.5,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
35,ElasticNet,0.1,0.7,0.5333884341352629,0.5224275205829929,0.0060274559100940645,2
36,Lasso,0.1,NAN,0.9136308242547844,0.9451544827042695,-0.002797078457332723,3
37,Ridge,0.1,NAN,0.06515534834560813,0.06535123695556735,-0.0027970784573319142,3
38,LR,NAN,NAN,0.0651587978705692,0.06535557485369045,-0.002825490949727093,3
39,ElasticNet,0.1,0.1,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
40,ElasticNet,0.1,0.3,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
41,ElasticNet,0.1,0.5,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
42,ElasticNet,0.1,0.7,0.508955266649051,0.5303230562207966,-0.0027970784573326767,3
43,Lasso,0.5,NAN,0.9599772052905409,0.9396069214123335,-0.003230547831318969,1
