test#,model type,alpha,alpha_ratio,MSE_test,MSE_train,intercept,cv#
1,Lasso,0.05,NAN,0.8742098705082418,0.8612752245751545,0.0034285435526044974,1
2,Ridge,0.05,NAN,0.13708172974813204,0.12936150778202324,0.003428543552603584,1
3,LR,NAN,NAN,0.13708118455276178,0.1293613192981709,0.0034347581395537796,1
4,ElasticNet,0.05,0.1,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
5,ElasticNet,0.05,0.3,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
6,ElasticNet,0.05,0.5,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
7,ElasticNet,0.05,0.7,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
8,Lasso,0.05,NAN,0.8640262077525427,0.8604201414299023,-0.001547536114070025,2
9,Ridge,0.05,NAN,0.13177360968126653,0.1319955498022532,-0.0015475361140696575,2
10,LR,NAN,NAN,0.13177315393280123,0.13199858853663696,-0.0015173923765062973,2
11,ElasticNet,0.05,0.1,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
12,ElasticNet,0.05,0.3,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
13,ElasticNet,0.05,0.5,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
14,ElasticNet,0.05,0.7,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
15,Lasso,0.05,NAN,0.8478560289947698,0.8640934710150961,-0.0018809560106383002,3
16,Ridge,0.05,NAN,0.12842570104491993,0.13364993026617233,-0.001880956010639087,3
17,LR,NAN,NAN,0.12842512036642648,0.1336499145704495,-0.0018673120549268034,3
18,ElasticNet,0.05,0.1,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
19,ElasticNet,0.05,0.3,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
20,ElasticNet,0.05,0.5,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
21,ElasticNet,0.05,0.7,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
22,Lasso,0.1,NAN,0.8742098705082418,0.8612752245751545,0.0034285435526044974,1
23,Ridge,0.1,NAN,0.13708172974813204,0.12936150778202324,0.003428543552603584,1
24,LR,NAN,NAN,0.13708118455276178,0.1293613192981709,0.0034347581395537796,1
25,ElasticNet,0.1,0.1,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
26,ElasticNet,0.1,0.3,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
27,ElasticNet,0.1,0.5,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
28,ElasticNet,0.1,0.7,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
29,Lasso,0.1,NAN,0.8640262077525427,0.8604201414299023,-0.001547536114070025,2
30,Ridge,0.1,NAN,0.13177360968126653,0.1319955498022532,-0.0015475361140696575,2
31,LR,NAN,NAN,0.13177315393280123,0.13199858853663696,-0.0015173923765062973,2
32,ElasticNet,0.1,0.1,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
33,ElasticNet,0.1,0.3,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
34,ElasticNet,0.1,0.5,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
35,ElasticNet,0.1,0.7,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
36,Lasso,0.1,NAN,0.8478560289947698,0.8640934710150961,-0.0018809560106383002,3
37,Ridge,0.1,NAN,0.12842570104491993,0.13364993026617233,-0.001880956010639087,3
38,LR,NAN,NAN,0.12842512036642648,0.1336499145704495,-0.0018673120549268034,3
39,ElasticNet,0.1,0.1,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
40,ElasticNet,0.1,0.3,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
41,ElasticNet,0.1,0.5,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
42,ElasticNet,0.1,0.7,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
43,Lasso,0.5,NAN,0.8742098705082418,0.8612752245751545,0.0034285435526044974,1
44,Ridge,0.5,NAN,0.13708172974813204,0.12936150778202324,0.003428543552603584,1
45,LR,NAN,NAN,0.13708118455276178,0.1293613192981709,0.0034347581395537796,1
46,ElasticNet,0.5,0.1,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
47,ElasticNet,0.5,0.3,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
48,ElasticNet,0.5,0.5,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
49,ElasticNet,0.5,0.7,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
50,Lasso,0.5,NAN,0.8640262077525427,0.8604201414299023,-0.001547536114070025,2
51,Ridge,0.5,NAN,0.13177360968126653,0.1319955498022532,-0.0015475361140696575,2
52,LR,NAN,NAN,0.13177315393280123,0.13199858853663696,-0.0015173923765062973,2
53,ElasticNet,0.5,0.1,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
54,ElasticNet,0.5,0.3,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
55,ElasticNet,0.5,0.5,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
56,ElasticNet,0.5,0.7,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
57,Lasso,0.5,NAN,0.8478560289947698,0.8640934710150961,-0.0018809560106383002,3
58,Ridge,0.5,NAN,0.12842570104491993,0.13364993026617233,-0.001880956010639087,3
59,LR,NAN,NAN,0.12842512036642648,0.1336499145704495,-0.0018673120549268034,3
60,ElasticNet,0.5,0.1,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
61,ElasticNet,0.5,0.3,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
62,ElasticNet,0.5,0.5,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
63,ElasticNet,0.5,0.7,0.4227084362942484,0.4331749777781044,-0.0018809560106382536,3
64,Lasso,5,NAN,0.8742098705082418,0.8612752245751545,0.0034285435526044974,1
65,Ridge,5,NAN,0.13708172974813204,0.12936150778202324,0.003428543552603584,1
66,LR,NAN,NAN,0.13708118455276178,0.1293613192981709,0.0034347581395537796,1
67,ElasticNet,5,0.1,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
68,ElasticNet,5,0.3,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
69,ElasticNet,5,0.5,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
70,ElasticNet,5,0.7,0.4369482504458217,0.4285268325598191,0.003428543552604528,1
71,Lasso,5,NAN,0.8640262077525427,0.8604201414299023,-0.001547536114070025,2
72,Ridge,5,NAN,0.13177360968126653,0.1319955498022532,-0.0015475361140696575,2
73,LR,NAN,NAN,0.13177315393280123,0.13199858853663696,-0.0015173923765062973,2
74,ElasticNet,5,0.1,0.43295174258898284,0.43060726055027426,-0.001547536114070087,2
